No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
6,1,1,9.506944444,0.93,482.1,-116.97371,32.516112,-116.977558,32.517245,0.803333333,INCREMENTO,1
7,1,1,10.61777778,7.811666667,1258,-116.873201,32.434816,-116.876927,32.445326,-4.811666667,DP,2
7,1,1,12.11194444,4.885,3108.9,-116.910566,32.462963,-116.885176,32.448197,-0.885,INCREMENTO,1
4,1,1,21.46666667,6.081666667,4888.3,-116.924742,32.467598,-116.88513,32.448082,-0.631666667,INCREMENTO,1
5,1,1,22.38527778,9.885,2764.7,-116.969234,32.496035,-116.964049,32.50682,-3.885,DP,2
7,1,1,22.605,7.003333333,5781.9,-116.887618,32.452375,-116.921073,32.477061,2.93,INCREMENTO,1
6,2,1,3.350277778,2.258333333,656.5,-117.006368,32.52268,-117.010055,32.525535,1.391666667,INCREMENTO,1
7,2,1,7.533611111,3.356666667,1837.6,-116.898668,32.455147,-116.885109,32.448124,-1.273333334,INCREMENTO,1
5,2,1,8.000277778,1.61,274.8,-116.9651,32.505301,-116.964123,32.506767,0.24,INCREMENTO,1
3,2,1,9.351666667,24.65333333,6367.9,-116.868845,32.494392,-116.898664,32.526751,-9.720000003,DM,3
6,2,1,9.611944444,14.3,4898.8,-117.010075,32.525425,-116.965347,32.516903,-2.46666667,DP,2
3,2,1,10.13416667,1.385,290.3,-116.926712,32.479096,-116.926503,32.476598,0.615,INCREMENTO,1
3,2,1,11.06777778,13.38166667,10328.7,-116.97482,32.515103,-116.888556,32.514942,-2.381666667,DP,2
2,2,1,11.24277778,0.793333333,188.7,-116.87372,32.46735,-116.875492,32.467853,0.823333334,INCREMENTO,1
6,2,1,11.23416667,33.58166667,21876.9,-117.085918,32.489717,-117.010015,32.525483,-11.89833334,DM,3
6,2,1,16.23722222,17.21,12177.8,-117.0086,32.522003,-116.899988,32.530525,-1.37666667,INCREMENTO,1
5,2,1,18.42722222,10.545,5128.4,-116.986924,32.484095,-116.973123,32.487539,2.455,INCREMENTO,1
4,2,1,18.75472222,17.015,8302.1,-116.885007,32.448005,-116.934183,32.4653,-8.148333333,DM,3
6,2,1,18.91833333,4.945,2256.3,-116.93499,32.4993,-116.956625,32.506962,-1.945,DP,2
2,2,1,19.18916667,4.186666667,1173.4,-116.873697,32.466773,-116.864477,32.469828,-1.036666667,INCREMENTO,1
5,2,1,20.19416667,0.355,171.1,-116.967249,32.506522,-116.965799,32.505584,0.645,INCREMENTO,1
3,2,1,22.04666667,26.8,19635.5,-116.855248,32.47807,-117.010009,32.525313,-7.8,DM,3
4,2,1,22.20833333,14.21333333,11617.7,-116.84696,32.49776,-116.869842,32.444638,3.086666667,INCREMENTO,1
3,2,1,23.11583333,7.968333333,2547.9,-116.868879,32.493746,-116.879612,32.4806,-1.968333333,DP,2
1,3,1,0.589444444,6.611666667,1853.9,-116.962517,32.409801,-116.970885,32.421067,5.388333333,INCREMENTO,1
7,3,1,3.756111111,15.06833333,5780,-116.909876,32.511715,-116.868515,32.494342,3.564999997,INCREMENTO,1
1,3,1,6.927777778,38.83666667,38200.6,-116.936718,32.372326,-117.010083,32.525605,-0.903333337,INCREMENTO,1
2,3,1,8.204722222,3.671666667,1798.1,-116.885198,32.448233,-116.894782,32.458437,-0.321666667,INCREMENTO,1
1,3,1,12.55305556,26.58333333,18062.3,-116.883573,32.446922,-116.92391,32.544208,-4.650000003,DP,2
5,3,1,13.46583333,4.051666667,1583.1,-116.972025,32.511043,-116.964107,32.506753,0.498333333,INCREMENTO,1
5,3,1,14.66416667,3.053333333,435.7,-116.964049,32.458369,-116.965774,32.456015,0.963333334,INCREMENTO,1
6,4,1,11.24444444,4.473333333,1329.9,-116.956693,32.499003,-116.964033,32.506805,-0.256666666,INCREMENTO,1
5,4,1,16.58638889,4.896666667,1322.3,-116.9665,32.499565,-116.956728,32.499009,-0.896666667,INCREMENTO,1
6,4,1,17.53305556,5.376666667,1980.9,-116.95124,32.495305,-116.963972,32.506968,-0.576666667,INCREMENTO,1
5,4,1,18.14472222,10.87833333,4056.3,-116.952499,32.498719,-116.985559,32.50774,-1.878333333,DP,2
5,4,1,19.36166667,16.44666667,4317,-116.988381,32.519867,-116.965875,32.498849,1.553333333,INCREMENTO,1
3,4,1,20.84027778,1.688333333,662.8,-116.886756,32.496736,-116.882381,32.492105,-0.688333333,INCREMENTO,1
6,4,1,22.18666667,3.03,762.7,-116.96421,32.509792,-116.969773,32.508347,-0.03,INCREMENTO,1
5,5,1,1.924166667,7.45,2182.8,-116.964985,32.504717,-116.976096,32.506746,-3.45,DP,2
5,5,1,10.82194444,8.848333333,2536.5,-116.956651,32.493133,-116.964001,32.506825,-3.165,DP,2
5,5,1,13.12027778,3.78,1961.7,-116.978254,32.515081,-116.964042,32.506757,-0.78,INCREMENTO,1
