No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
6,5,2,15.70611111,3.066666667,619,-116.953755,32.492483,-116.954643,32.4916,-1.666666667,INCREMENTO,1,,,
4,5,2,15.98555556,3.033333333,1331,-116.962437,32.510452,-116.96393,32.506833,-0.283333333,INCREMENTO,1,,,
6,5,2,16.81138889,14.31666667,7667,-116.96303,32.509033,-116.901735,32.492388,-4.166666667,DP,2,,,
2,5,2,20.2075,5.916666667,1753,-116.908302,32.44485,-116.919797,32.44704,0.95,INCREMENTO,1,,,
6,5,2,20.78972222,11.41666667,5370,-116.9639,32.506803,-116.94167,32.533683,-3.3,DP,2,,,
5,6,2,8.201666667,1.883333333,1132,-116.962487,32.508603,-116.9559,32.502025,1.116666667,INCREMENTO,1,,,
3,6,2,8.318333333,6.116666667,1843,-116.876404,32.510939,-116.862866,32.513326,-2.316666667,DP,2,,,
6,6,2,9.036111111,0.783333333,164,-116.963185,32.507958,-116.96402,32.506827,0.3,INCREMENTO,1,,,
6,6,2,9.790555556,0.816666667,556,-116.961037,32.502147,-116.96547,32.50547,0.183333333,INCREMENTO,1,,,
2,6,2,11.90305556,1.666666667,379,-116.884542,32.448605,-116.885068,32.448123,0.15,INCREMENTO,1,,,
4,6,2,15.67777778,0.3,150,-116.884167,32.460972,-116.882635,32.461367,0.7,INCREMENTO,1,,,
3,6,2,17.24666667,10.65,8851,-116.930651,32.492674,-117.010013,32.525273,-3.65,DP,2,,,
2,6,2,17.62138889,3.816666667,665,-116.935967,32.471332,-116.932282,32.4688,1.616666667,INCREMENTO,1,,,
4,6,2,17.6075,18.15,4532,-116.90879,32.499563,-116.950872,32.494922,-6.933333333,DP,2,,,
5,6,2,17.67611111,8.866666667,2873,-116.93021,32.536751,-116.910521,32.538248,-2.866666667,DP,2,,,
3,6,2,18.58777778,54.46666667,13215,-116.865562,32.510537,-116.956453,32.552754,-27.53333333,DM,3,,,
2,6,2,19.18444444,11.35,11919,-116.920872,32.465553,-117.010108,32.525577,-2.15,DP,2,,,
6,6,2,22.58194444,3.183333333,585,-116.980082,32.516688,-116.986242,32.517327,-2.183333333,DP,2,,,
3,6,2,23.28833333,1.1,670,-116.820553,32.480677,-116.826852,32.477812,-0.1,INCREMENTO,1,,,
5,7,2,7.154444444,3.95,1487,-116.955684,32.498352,-116.963962,32.506817,-1.933333333,DP,2,,,
5,7,2,8.671111111,10.71666667,4767,-116.970881,32.460297,-116.955842,32.491902,0.283333333,INCREMENTO,1,,,
7,7,2,8.891111111,2.2,524,-117.067233,32.435428,-117.064304,32.436937,0.033333333,INCREMENTO,1,,,
5,7,2,8.921111111,2.983333333,1270,-116.958913,32.499031,-116.964126,32.506884,0.016666667,INCREMENTO,1,,,
6,7,2,9.577777778,0.666666667,194,-117.089728,32.530182,-117.091778,32.530632,1.15,INCREMENTO,1,,,
3,7,2,9.629444444,9.45,6980,-116.820433,32.457949,-116.884524,32.448834,-3.45,DP,2,,,
5,7,2,9.888055556,5.6,2797,-116.991303,32.510611,-116.996542,32.497227,9.4,INCREMENTO,1,,,
5,7,2,10.67138889,3.183333333,1724,-116.982913,32.510428,-116.965746,32.505541,-0.183333333,INCREMENTO,1,,,
6,7,2,11.46916667,13.96666667,11118,-116.917938,32.51393,-117.010043,32.525497,-0.35,INCREMENTO,1,,,
2,7,2,11.90444444,4.25,1632,-116.885302,32.448248,-116.869862,32.450658,-0.233333333,INCREMENTO,1,,,
5,7,2,12.36888889,3.016666667,2389,-116.984657,32.515504,-116.966326,32.509284,0.983333333,INCREMENTO,1,,,
2,7,2,13.93805556,0.283333333,123,-116.922742,32.462317,-116.921553,32.462445,2.583333333,INCREMENTO,1,,,
4,7,2,14.53916667,10.23333333,3086,-116.928945,32.4403,-116.924243,32.458355,-2.316666667,DP,2,,,
5,7,2,15.95527778,33.58333333,11111,-116.968106,32.474337,-117.010299,32.525453,-20.58333333,DM,3,,,
3,7,2,18.64083333,25.83333333,7065,-116.906636,32.500046,-116.969874,32.508407,-9.816666667,DM,3,,,
5,7,2,19.31916667,9.866666667,6857,-116.956511,32.507763,-117.010086,32.525569,-0.866666667,INCREMENTO,1,,,
2,7,2,19.4625,10.71666667,5719,-116.8311,32.455862,-116.88512,32.448132,-2.85,DP,2,,,
3,7,2,19.72472222,15.88333333,6508,-116.885925,32.501117,-116.843614,32.504156,-6.883333333,DP,2,,,
5,7,2,22.98694444,15.63333333,6024,-116.926379,32.515876,-116.969922,32.508437,-7.2,DP,2,,,
4,1,2,6.118333333,46.56666667,37860,-116.732157,32.403655,-117.010047,32.525463,-11.11666667,DM,3,,,
7,1,2,6.246388889,7.3,2086,-117.022904,32.510093,-117.028227,32.524931,-4.3,DP,2,,,
4,1,2,7.498055556,1.866666667,481,-116.932723,32.457887,-116.935427,32.458,1,INCREMENTO,1,,,
5,1,2,8.309722222,10.28333333,10767,-116.961997,32.508237,-116.885021,32.448064,1.65,INCREMENTO,1,,,
5,1,2,8.825277778,3.583333333,1773,-116.953304,32.496641,-116.963949,32.506897,2.4,INCREMENTO,1,,,
1,1,2,11.07027778,13.43333333,6496,-116.882644,32.449695,-116.868539,32.494343,0.4,INCREMENTO,1,,,
1,1,2,12.25861111,0.6,112,-116.87043,32.521673,-116.870161,32.522636,2.333333333,INCREMENTO,1,,,
6,1,2,19.26805556,14.33333333,7811,-117.010905,32.471077,-116.94874,32.503033,-0.433333333,INCREMENTO,1,,,
1,1,2,20.02138889,27.53333333,7706,-116.899842,32.498953,-116.969744,32.508327,-12.53333333,DM,3,,,
1,1,2,20.83638889,7.683333333,2313,-116.898207,32.455593,-116.875178,32.461855,2.316666667,INCREMENTO,1,,,
2,1,2,21.14222222,12.86666667,4021,-116.87538,32.451127,-116.848457,32.470372,-4.233333333,DP,2,,,
5,1,2,21.30888889,5,1280,-116.972462,32.508899,-116.969864,32.508184,-1,INCREMENTO,1,,,
2,1,2,21.63611111,44.98333333,16407,-116.848477,32.470328,-116.969838,32.508232,-6.766666667,DP,2,,,
5,1,2,22.67833333,12.18333333,2041,-117.009418,32.513654,-116.989133,32.508975,-7.183333333,DP,2,,,
6,1,2,23.79277778,15.21666667,6485,-117.010112,32.525487,-116.964187,32.506868,-6.516666667,DP,2,,,
1,2,2,4.489722222,9.466666667,2956,-116.850679,32.490314,-116.868517,32.494268,-3.55,DP,2,,,
1,2,2,7.016388889,16.7,16621,-117.008077,32.525309,-116.88519,32.448073,-3.316666667,DP,2,,,
1,2,2,7.611388889,5.866666667,2672,-116.882246,32.450052,-116.874732,32.446489,1.216666667,INCREMENTO,1,,,
5,2,2,8.330277778,4.483333333,1460,-116.943446,32.48555,-116.950976,32.494957,-0.483333333,INCREMENTO,1,,,
6,2,2,16.43194444,18.33333333,3521,-116.96409,32.50676,-116.986883,32.521148,-11.76666667,DM,3,,,
6,2,2,17.4575,15.11666667,7745,-116.963923,32.50692,-116.971257,32.52141,-8.066666667,DM,3,,,
5,2,2,18.03194444,2.183333333,309,-116.899193,32.529347,-116.900111,32.53074,-0.25,INCREMENTO,1,,,
5,2,2,19.98972222,7.666666667,3087,-116.963585,32.503963,-116.939007,32.491027,-3.666666667,DP,2,,,
4,2,2,20.0275,13.15,10753,-116.962483,32.508612,-116.88512,32.448763,1.033333333,INCREMENTO,1,,,
5,3,2,8.383888889,0.5,119,-116.9663,32.509363,-116.967311,32.509898,0.5,INCREMENTO,1,,,
5,3,2,10.27972222,2.583333333,1506,-116.962426,32.514811,-116.963922,32.506926,31.78333333,INCREMENTO,1,,,
5,3,2,11.48805556,0.416666667,106,-116.924569,32.491219,-116.925211,32.491999,0.583333333,INCREMENTO,1,,,
