No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
7,4,3,10.21666667,15.16666667,10495,-117.026586,32.443038,-117.078139,32.48527,-4.166666667,DP,2
5,4,3,10.31666667,1.133333333,216,-116.964628,32.495259,-116.963526,32.496937,-0.133333333,INCREMENTO,1
4,4,3,11.3,4.966666667,2032,-116.870037,32.45207,-116.880698,32.460773,0.033333333,INCREMENTO,1
10,4,3,11.73333333,4.666666667,1651,-116.964012,32.506762,-116.97184,32.502142,-1.666666667,INCREMENTO,1
4,4,3,12.56666667,13.51666667,7593,-116.831413,32.46641,-116.885247,32.448188,2.483333333,INCREMENTO,1
2,4,3,14.53333333,5.716666667,2451,-116.887922,32.460275,-116.885142,32.448147,-0.716666667,INCREMENTO,1
10,4,3,14.6,21.58333333,9041,-116.930987,32.544305,-116.965898,32.498768,-3.583333333,DP,2
10,4,3,16.33333333,24.7,10274,-116.966313,32.481022,-117.010068,32.52556,-11.7,DM,3
5,4,3,16.7,2.35,1054,-116.969078,32.513287,-116.963958,32.506905,0.65,INCREMENTO,1
10,4,3,17.06666667,3.866666667,1256,-116.995603,32.539255,-116.988592,32.539998,-0.866666667,INCREMENTO,1
2,4,3,18.31666667,15.43333333,9137,-116.885273,32.448285,-116.842415,32.456202,-5.433333333,DP,2
7,4,3,18.78333333,4.033333333,713,-117.031486,32.528561,-117.02825,32.524796,-2.033333333,DP,2
5,4,3,19.43333333,14.73333333,3193,-116.965457,32.505791,-116.985861,32.519779,-10.73333333,DM,3
4,4,3,20.05,4.283333333,1753,-116.880227,32.461057,-116.885072,32.448102,1.716666667,INCREMENTO,1
5,4,3,21.9,16.61666667,3123,-117.022421,32.524888,-117.042861,32.512175,-6.616666667,DP,2
10,4,3,22.25,13.5,1872,-116.963935,32.506855,-116.978358,32.505878,-8.5,DM,3
7,5,3,0.3,21.05,13152,-117.065732,32.517918,-117.010087,32.525548,-9.05,DM,3
7,5,3,2.9,22.08333333,12917,-116.964169,32.502487,-117.024738,32.450689,-5.083333333,DP,2
5,5,3,9.983333333,0.7,288,-116.976696,32.513077,-116.979731,32.513418,0.3,INCREMENTO,1
3,5,3,10.28333333,1.9,276,-116.923478,32.485389,-116.923649,32.485557,-0.9,INCREMENTO,1
7,5,3,11.58333333,13.01666667,6943,-117.036627,32.442003,-116.992238,32.445577,-4.016666667,DP,2
10,5,3,13.56666667,2.566666667,774,-116.957907,32.466608,-116.96271,32.461835,-0.566666667,INCREMENTO,1
5,5,3,13.96666667,2.083333333,806,-116.94344,32.489506,-116.949956,32.494228,-0.083333333,INCREMENTO,1
10,5,3,14.9,10.53333333,3448,-116.9173,32.496417,-116.926272,32.474885,17.46666667,INCREMENTO,1
7,5,3,15.7,8.333333333,7240,-117.026088,32.44332,-117.032847,32.444944,-7.333333333,DM,3
10,5,3,16.05,3.083333333,446,-116.933802,32.543912,-116.930285,32.545068,-1.083333333,INCREMENTO,1
7,5,3,18.68333333,8.133333333,7743,-116.935245,32.486204,-116.87999,32.446422,3.866666667,INCREMENTO,1
4,5,3,19.01666667,11.15,7508,-116.883108,32.446615,-116.926425,32.476338,-3.15,DP,2
1,5,3,19.05,26.38333333,20312,-116.872984,32.431845,-117.010054,32.525492,-5.383333333,DP,2
5,5,3,19.2,33.38333333,12326,-116.966651,32.465356,-117.009983,32.525503,-11.38333333,DM,3
1,5,3,19.8,13.51666667,11035,-117.009134,32.521878,-116.933397,32.470692,13.48333333,INCREMENTO,1
2,5,3,19.88333333,43.83333333,28437,-116.730083,32.40139,-116.926373,32.476348,-12.83333333,DM,3
7,5,3,22.26666667,29.13333333,13093,-116.965171,32.506018,-117.067528,32.483587,-14.13333333,DM,3
7,5,3,22.95,3.766666667,764,-117.036793,32.498716,-117.035513,32.504214,-0.766666667,INCREMENTO,1
10,6,3,1.616666667,30.33333333,12148,-116.972347,32.465618,-117.010105,32.525585,-18.33333333,DM,3
1,6,3,8.916666667,4.483333333,2509,-116.945614,32.443974,-116.927832,32.459711,2.516666667,INCREMENTO,1
2,6,3,14.55,4.65,2603,-116.905363,32.462083,-116.885132,32.448132,-0.65,INCREMENTO,1
10,6,3,14.95,4.083333333,1185,-116.961978,32.511362,-116.964022,32.50675,-0.083333333,INCREMENTO,1
5,6,3,15.7,0.516666667,122,-116.973586,32.468137,-116.973931,32.467079,0.483333333,INCREMENTO,1
10,6,3,16.05,18.51666667,5135,-116.96453,32.506672,-116.954962,32.472605,-6.516666667,DP,2
5,6,3,16.18333333,12.01666667,8111,-116.949736,32.496682,-117.010153,32.525534,-5.016666667,DP,2
6,6,3,17.21666667,21.53333333,4623,-117.00079,32.519127,-117.031508,32.522507,-14.53333333,DM,3
10,6,3,17.66666667,0.666666667,188,-116.967372,32.506583,-116.965777,32.505547,0.333333333,INCREMENTO,1
6,6,3,18.25,15.7,6263,-116.963962,32.506962,-116.918115,32.4905,-5.7,DP,2
7,6,3,19.45,29.88333333,11976,-117.027394,32.523718,-117.040033,32.437746,-5.883333333,DP,2
10,6,3,19.55,2.7,809,-116.966957,32.511865,-116.964032,32.506848,-0.7,INCREMENTO,1
10,6,3,21.9,13.4,6076,-117.007182,32.524002,-116.964152,32.506792,-5.4,DP,2
10,6,3,9.933333333,12.28333333,5635,-116.965332,32.505158,-116.954795,32.46742,-5.283333333,DP,2
5,6,3,22.18333333,4.616666667,1086,-116.934999,32.485477,-116.942165,32.48857,-0.616666667,INCREMENTO,1
6,6,3,22.63333333,4.466666667,793,-117.011813,32.516187,-117.017925,32.514902,-2.466666667,DP,2
7,7,3,0.516666667,14.33333333,5711,-117.016273,32.469054,-117.042721,32.438493,-7.333333333,DM,3
7,7,3,1.666666667,27.21666667,12764,-117.040498,32.436261,-117.056798,32.511064,-15.21666667,DM,3
6,7,3,4.25,11.96666667,5698,-116.964022,32.506757,-116.920613,32.486472,-4.966666667,DP,2
3,7,3,4.566666667,17.43333333,6213,-116.872652,32.500829,-116.888788,32.465401,2.566666667,INCREMENTO,1
5,7,3,5.366666667,9.533333333,4071,-116.987729,32.479525,-116.995385,32.491995,1.466666667,INCREMENTO,1
10,7,3,5.416666667,12.03333333,7373,-116.962238,32.508458,-116.97554,32.524727,-2.033333333,DP,2
2,7,3,5.633333333,8.366666667,3283,-116.885283,32.448293,-116.870305,32.45851,-1.366666667,INCREMENTO,1
1,7,3,6.8,9.233333333,8636,-116.861069,32.443579,-116.850859,32.485786,-2.233333333,DP,2
4,7,3,7.2,8.766666667,3698,-116.88526,32.448298,-116.909307,32.44734,0.233333333,INCREMENTO,1
2,7,3,7.316666667,12.11666667,4120,-116.88509,32.448122,-116.8625,32.46218,-2.116666667,DP,2
5,7,3,7.416666667,15.18333333,10857,-116.960534,32.505855,-116.901153,32.548127,-2.183333333,DP,2
6,7,3,7.4,15.75,8825,-116.964215,32.506587,-116.920752,32.545867,0.25,INCREMENTO,1
3,7,3,8.1,9.216666667,8773,-116.840238,32.458028,-116.897745,32.419452,11.78333333,INCREMENTO,1
4,7,3,8.1,11.75,5448,-116.885103,32.448155,-116.846075,32.47118,-1.75,INCREMENTO,1
5,7,3,8.866666667,9.85,6872,-116.959923,32.506403,-116.932372,32.543163,0.15,INCREMENTO,1
6,7,3,10.6,13.6,7337,-116.93897,32.534375,-116.896592,32.525133,-3.6,DP,2
5,7,3,10.81666667,13.93333333,7481,-116.965618,32.505562,-116.9818,32.474348,-3.933333333,DP,2
5,7,3,11.4,1.4,402,-116.979797,32.475395,-116.979377,32.476946,0.6,INCREMENTO,1
2,7,3,11.88333333,20.13333333,11493,-116.885293,32.44821,-116.964655,32.42349,-2.133333333,DP,2
6,7,3,11.95,9.416666667,5498,-116.963923,32.50697,-116.922303,32.491387,0.583333333,INCREMENTO,1
10,7,3,12,1.316666667,644,-116.965405,32.50516,-116.96575,32.500657,2.683333333,INCREMENTO,1
7,7,3,12.71666667,22.66666667,11807,-117.037966,32.441901,-117.072541,32.478943,-9.666666667,DM,3
10,7,3,13.2,21.08333333,8386,-116.963982,32.50699,-116.925352,32.547137,-4.083333333,DP,2
7,7,3,13.66666667,9.716666667,5775,-117.037119,32.46569,-117.032436,32.474597,-2.716666667,DP,2
10,7,3,14.2,20.43333333,6253,-116.964745,32.506408,-116.97243,32.46404,-9.433333333,DM,3
5,7,3,15.23333333,17.9,7004,-116.970073,32.495018,-116.995754,32.467997,-4.9,DP,2
1,7,3,16.76666667,16.5,7613,-116.878828,32.446539,-116.82035,32.467356,-9.5,DM,3
5,7,3,16.86666667,9.866666667,8310,-116.969832,32.511491,-116.901469,32.52758,-2.866666667,DP,2
4,7,3,16.93333333,32.5,22050,-116.885118,32.44809,-116.740107,32.50942,-13.5,DM,3
3,7,3,17.25,4.55,1422,-116.87391,32.500783,-116.872446,32.492196,48.45,INCREMENTO,1
